ID,Episode,Numero,Artiste,Generation,Compagnie,Sexe,Taille,Titre,Annee,Sous_unite,Featuring,Note
317,15,9,NCT Dream,4,SM Entertainment,Gars,Groupe,Smoothie,2022,Non,Non,8.0
318,15,10,Loona,3,BlockBerryCreative,Fille,Groupe,Paint the town,2021,Non,Non,6.5
319,15,11,Wanna one,3,YMC Entertainment,Gars,Groupe,Energetic,2017,Non,Non,10.0
320,15,12,StayC,4,High Up Entertainment,Fille,Groupe,Bubble,2023,Non,Non,6.0
321,15,13,Kang Daniel,3,KONNECT Entertainment,Gars,Groupe,Movie,2020,Non,Non,6.0
322,15,14,Stray Kids,4,JYP Entertainment,Gars,Groupe,Voices,2019,Non,Non,10.0
323,15,15,Huh Yunjin,4,Source Music,Fille,Solo,I ≠ DOLL,2023,Non,Non,8.0
324,15,16,Astro,3,Fantagio,Gars,Groupe,Blue flame,2019,Non,Non,10.0
325,15,17,N.Flying,2,FNC Entertainment,Gars,Groupe,Rooftop,2019,Non,Non,10.0
326,15,18,Mamamoo,2,RBW,Fille,Groupe,Aya,2020,Non,Non,10.0
327,15,19,The rose,3,J&Star Entertainment,Gars,Groupe,Back to me,2023,Non,Non,9.0
328,15,20,Aespa,4,SM Entertainment,Fille,Groupe,Savage,2021,Non,Non,6.5
329,15,21,P1Harmony,4,FNC Entertainment,Gars,Groupe,Sad song,2023,Non,Non,9.0
330,15,22,Agust D,3,BigHit Entertainment,Gars,Solo,Daechwita,2020,Non,Non,7.0
331,16,1,(G)I-dle,4,CUBE Entertainment,Fille,Groupe,Wife,2024,Non,Non,6.0
332,16,2,Nu'est,2,Pledis Entertainment,Gars,Groupe,I'm in trouble,2020,Non,Non,9.0
333,16,3,Block B,2,Seven Seasons,Gars,Groupe,Shall we dance,2017,Non,Non,10.0
334,16,4,Sunmi,2,Makeus Entertainment,Fille,Solo,Noir,2019,Non,Non,8.0
335,16,5,N.Flying,2,FNC Entertainment,Gars,Groupe,The real,2017,Non,Non,8.0
336,16,6,NCT 127,4,SM Entertainment,Gars,Groupe,Walk,2024,Non,Non,7.0
337,16,7,Itzy,4,JYP Entertainment,Fille,Groupe,Cake,2023,Non,Non,7.0
338,16,8,ONF,3,WM Entertainment,Gars,Groupe,Why,2022,Non,Non,8.5
339,16,9,SF9,3,FNC Entertainment,Gars,Groupe,Mamma mia,2018,Non,Non,10.0
340,16,10,Twice,3,JYP Entertainment,Fille,Groupe,Set me free,2023,Non,Non,8.0
341,16,11,Enhypen,4,Belift Lab,Gars,Groupe,Brought the heat back,2024,Non,Non,10.0
342,16,12,StayC,4,High Up Entertainment,Fille,Groupe,Beautiful monster,2022,Non,Non,8.0
343,16,13,The Boyz,4,Cre.ker Entertainment,Gars,Groupe,No air,2018,Non,Non,10.0
344,16,14,Pentagon,3,CUBE Entertainment,Gars,Groupe,Spring snow,2020,Non,Non,7.0
345,16,15,Everglow,4,Yuehua Entertainment,Fille,Groupe,First,2021,Non,Non,8.5
346,16,16,NCT Dream,4,SM Entertainment,Gars,Groupe,Boom,2019,Non,Non,10.0
347,16,17,Riize,5,SM Entertainment,Gars,Groupe,Impossible,2024,Non,Non,7.5
348,16,18,Jeon somi,3,The Black Label,Fille,Solo,Dumb dumb,2021,Non,Non,8.0
349,16,19,Stray Kids,4,JYP Entertainment,Gars,Groupe,Get cool,2018,Non,Non,9.0
350,16,20,Just B,4,Bluedot Entertainment,Gars,Groupe,Medusa,2023,Non,Non,7.0
351,16,21,Kep1er,4,Wake One Entertainment,Fille,Groupe,Up!,2022,Non,Non,7.5
352,16,22,iKon,2,YG Entertainment,Gars,Groupe,Killing me,2018,Non,Non,10.0
353,17,1,Nmixx,4,JYP Entertainment,Fille,Groupe,Love me like this,2023,Non,Non,6.0
354,17,2,NCT 127,4,SM Entertainment,Gars,Groupe,2 Baddies,2022,Non,Non,7.0
355,17,3,Oneus,4,RBW,Gars,Groupe,Baila conmigo,2023,Non,Non,6.0
356,17,4,4Minute,2,CUBE Entertainment,Fille,Groupe,Crazy,2015,Non,Non,10.0
357,17,5,Xdinary Heroes,4,JYP Entertainment,Gars,Groupe,Freakin' bad,2023,Non,Non,8.0
358,17,6,Viviz,4,BPM Entertainment,Fille,Groupe,Maniac,2023,Non,Non,8.0
359,17,7,Psy,2,YG Entertainment,Gars,Solo,New face,2017,Non,Non,9.0
360,17,8,Super junior,2,SM Entertainment,Gars,Groupe,Mr. Simple,2011,Non,Non,9.0
361,17,9,NewJeans,4,ADOR,Fille,Groupe,How sweet,2024,Non,Non,10.0
362,17,10,Ampers&one,5,FNC Entertainment,Gars,Groupe,On and on,2023,Non,Non,8.0
363,17,11,Jihyo,3,JYP Entertainment,Fille,Solo,Killin'me good,2023,Non,Non,7.5
364,17,12,Stray Kids,4,JYP Entertainment,Gars,Groupe,All in,2020,Non,Non,7.0
365,17,13,Block B,2,Seven Seasons,Gars,Groupe,Her,2014,Non,Non,10.0
366,17,14,(G)I-dle,4,CUBE Entertainment,Fille,Groupe,Klaxon,2024,Non,Non,7.0
367,17,15,NCT Dream,4,SM Entertainment,Gars,Groupe,We go up,2018,Non,Non,9.0
368,17,16,Girls' Generation,2,SM Entertainment,Fille,Groupe,Gee,2011,Non,Non,9.0
369,17,17,P1Harmony,4,FNC Entertainment,Gars,Groupe,Back down,2022,Non,Non,8.0
370,17,18,Exo,3,SM Entertainment,Gars,Groupe,Call me baby,2015,Non,Non,10.0
371,17,19,XG,4,XGALX,Fille,Groupe,Puppet show,2023,Non,Non,8.0
372,17,20,SuperM,4,SM Entertainment,Gars,Groupe,Tiger inside,2020,Non,Non,9.0
373,17,21,Red Velvet,3,SM Entertainment,Fille,Groupe,Cosmic,2024,Non,Non,8.0
374,17,22,Yeonjun,4,BigHit Entertainment,Gars,Solo,Ggum,2024,Non,Non,5.0
375,18,1,Samuel,3,Brave Entertainment,Gars,Solo,One,2018,Non,Non,7.5
376,18,2,2 PM,2,JYP Entertainment,Gars,Groupe,Heartbeat,2009,Non,Non,8.0
377,18,3,Twice,3,JYP Entertainment,Fille,Groupe,Cheer up,2016,Non,Non,9.0
378,18,4,The KingDom,5,GF Entertainment,Gars,Groupe,Flip that coin,2024,Non,Non,7.0
379,18,5,Dreamcatcher,3,Dreamcatcher Company,Fille,Groupe,Chase me,2017,Non,Non,9.0
380,18,6,Stray Kids,4,JYP Entertainment,Gars,Groupe,Why?,2024,Non,Non,6.0
381,18,7,NCT U,4,SM Entertainment,Gars,Groupe,Make a wish,2020,Non,Non,10.0
382,18,8,(G)I-dle,4,CUBE Entertainment,Fille,Groupe,Tomboy,2022,Non,Non,9.5
383,18,9,BoyNextDoor,5,KOZ Entertainment,Gars,Groupe,Nice guy,2024,Non,Non,6.5
384,18,10,Zerobaseone,5,WAKEONE,Gars,Groupe,Crush,2023,Non,Non,8.0
385,18,11,Red Velvet,3,SM Entertainment,Fille,Groupe,Bad boy,2018,Non,Non,10.0
386,18,12,Xdinary Heroes,4,JYP Entertainment,Gars,Groupe,Little things,2024,Non,Non,10.0
387,18,13,Rosé,3,YG Entertainment,Fille,Solo,APT,2024,Non,Bruno Mars,10.0
388,18,14,Exo,3,SM Entertainment,Gars,Groupe,Ko ko bop,2017,Non,Non,10.0
389,18,15,Oneus,4,RBW,Gars,Groupe,Erase me,2023,Non,Non,8.0
390,18,16,Iz*one,4,Off The Record Entertainment,Fille,Groupe,Secret story of the swan,2020,Non,Non,9.0
391,18,17,Seventeen,3,Pledis Entertainment,Gars,Groupe,Oh my!,2018,Non,Non,10.0
392,18,18,Tempest,4,Yuehua Entertainment,Gars,Groupe,Lighthouse,2024,Non,Non,8.0
393,18,19,Yena,4,Waterbomb,Fille,Solo,Wicked love,2023,Non,Non,7.5
